[30-12-2019 15:24:48] - SN:519364137375, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364137476, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364137577, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364137678, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364137779, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364137880, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364137981, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364138082, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364138183, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364138284, MODELO:TG1692A
[30-12-2019 15:24:49] - SN:519364138385, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364138486, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364138587, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364138688, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364138789, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364138890, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364138991, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364139092, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364139193, MODELO:TG1692A
[30-12-2019 15:24:50] - SN:519364139294, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364139395, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364139496, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364139597, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364139698, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364139799, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364139800, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364139901, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364140003, MODELO:TG1692A
[30-12-2019 15:24:51] - SN:519364140104, MODELO:TG1692A
[30-12-2019 15:24:52] - SN:519364140205, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364140306, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364140407, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364140508, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364140609, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364140710, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364140811, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364140912, MODELO:TG1692A
[30-12-2019 15:29:39] - SN:519364141013, MODELO:TG1692A
[30-12-2019 15:29:40] - SN:519364141114, MODELO:TG1692A
